env,run,dns,tcp,tls,ttfb,total
legacy,38,0.034108,0.037452,0.100025,0.142477,0.142548
legacy,39,0.016827,0.017054,0.088034,0.128935,0.129009
legacy,40,0.026951,0.027205,0.088632,0.134743,0.134792
legacy,41,0.004578,0.004805,0.086903,0.128382,0.128504
legacy,42,0.023555,0.023813,0.080133,0.125679,0.125733
legacy,43,0.004388,0.004529,0.067092,0.11186,0.111953
legacy,44,0.005447,0.005711,0.075482,0.116888,0.116974
legacy,45,0.023986,0.024207,0.08126,0.12843,0.128528
legacy,46,0.006556,0.006801,0.082042,0.12481,0.124935
legacy,47,0.026834,0.027148,0.086988,0.136572,0.136697
legacy,48,0.00781,0.008055,0.082727,0.124941,0.125051
legacy,49,0.022675,0.022924,0.086614,0.156224,0.15634
legacy,50,0.004383,0.004524,0.092547,0.151744,0.151841
legacy,51,0.004608,0.004848,0.078989,0.120128,0.120256
legacy,52,0.025189,0.025457,0.082331,0.137937,0.138099
legacy,53,0.010727,0.011098,0.081535,0.123121,0.123204
legacy,54,0.031449,0.031812,0.103865,0.179724,0.179825
legacy,55,0.037372,0.037763,0.107039,0.174892,0.174998
legacy,56,0.036338,0.036657,0.104091,0.16089,0.160983
legacy,57,0.006964,0.00723,0.077194,0.117771,0.117853
legacy,58,0.015407,0.015624,0.077335,0.130303,0.130422
legacy,59,0.007292,0.007547,0.083764,0.125095,0.125193
legacy,60,0.026955,0.027194,0.086188,0.138306,0.138411
legacy,61,0.027405,0.027701,0.099053,0.140115,0.140237
legacy,62,0.012471,0.012725,0.085675,0.126553,0.12662
legacy,63,0.004747,0.004917,0.076045,0.117606,0.117733
legacy,64,0.023843,0.024136,0.084374,0.153999,0.154134
legacy,65,0.006706,0.00698,0.084447,0.125676,0.125802
legacy,66,0.008811,0.009056,0.071051,0.11545,0.115532
legacy,67,0.00626,0.00647,0.07965,0.120385,0.12047
legacy,68,0.049685,0.049986,0.109272,0.160839,0.160901
legacy,69,0.060155,0.06044,0.121623,0.162131,0.16218
legacy,70,0.005321,0.005458,0.062637,0.106871,0.106961
legacy,71,0.006901,0.007153,0.071949,0.113231,0.113354
legacy,72,0.023503,0.02376,0.080603,0.124892,0.124945
legacy,73,0.018896,0.019144,0.104108,0.145856,0.145966
legacy,74,0.023505,0.023771,0.083727,0.150286,0.150419
legacy,75,0.010103,0.010377,0.0888,0.130248,0.130384
legacy,76,0.005234,0.005489,0.061696,0.110165,0.110221
legacy,77,0.005282,0.005459,0.061896,0.103455,0.103523
legacy,78,0.004243,0.004395,0.129903,0.180108,0.180204
legacy,79,0.005615,0.00592,0.071798,0.113146,0.11323
legacy,80,0.027017,0.027272,0.087847,0.129969,0.130026
legacy,81,0.003529,0.00365,0.055654,0.103744,0.103815
legacy,82,0.008607,0.008885,0.082674,0.124201,0.124321
legacy,83,0.025608,0.025931,0.091097,0.147624,0.147701
legacy,84,0.005043,0.005286,0.067321,0.10786,0.107929
legacy,85,0.00824,0.008373,0.09267,0.14005,0.140149
legacy,86,0.005243,0.005484,0.084488,0.126094,0.126191
legacy,87,0.0299,0.03021,0.088132,0.143559,0.143655
legacy,88,0.004945,0.005168,0.077297,0.118159,0.118281
legacy,89,0.021745,0.022019,0.102759,0.14715,0.147275
legacy,90,0.005955,0.006193,0.070893,0.11168,0.111773
legacy,91,0.026925,0.02722,0.085101,0.127249,0.127301
legacy,92,0.009083,0.009212,0.060857,0.114758,0.114821
legacy,93,0.004307,0.004502,0.093562,0.135169,0.135262
legacy,94,0.019738,0.020002,0.082098,0.12337,0.123437
legacy,95,0.00385,0.003972,0.056838,0.097868,0.097934
legacy,96,0.004561,0.004742,0.072702,0.113749,0.113833
legacy,97,0.027809,0.028072,0.090766,0.134431,0.134535
legacy,98,0.00524,0.005473,0.059932,0.101386,0.101506
legacy,99,0.0056,0.005858,0.076232,0.117667,0.117753
legacy,100,0.025645,0.025983,0.084307,0.125615,0.125676
aws,1,0.022512,0.022737,0.146383,0.197315,0.197431
aws,2,0.002431,0.002657,0.056265,0.10522,0.105287
aws,3,0.001294,0.001431,0.052105,0.098752,0.098814
aws,4,0.001619,0.001786,0.05279,0.149087,0.149206
aws,5,0.002362,0.00261,0.042334,0.076205,0.076288
aws,6,0.001513,0.001661,0.038905,0.088889,0.08901
aws,7,0.002447,0.002701,0.046106,0.104218,0.104301
aws,8,0.00248,0.002715,0.06127,0.095338,0.095412
aws,9,0.000839,0.000913,0.02834,0.076624,0.076733
aws,10,0.002522,0.00287,0.055705,0.102019,0.102145
aws,11,0.0024,0.002634,0.050887,0.075253,0.075304
aws,12,0.000816,0.000903,0.071146,0.104885,0.104976
aws,13,0.001895,0.002096,0.04903,0.073048,0.073098
aws,14,0.000825,0.000908,0.047949,0.104815,0.104923
aws,15,0.002311,0.002636,0.060676,0.084444,0.084498
aws,16,0.000823,0.000909,0.043184,0.070453,0.070495
aws,17,0.000844,0.000932,0.051538,0.081317,0.081448
aws,18,0.002349,0.002581,0.055513,0.078451,0.078506
aws,19,0.000749,0.000823,0.031602,0.073002,0.073051
aws,20,0.001149,0.001271,0.04745,0.091707,0.091769
aws,21,0.001129,0.001247,0.035712,0.080799,0.080939
aws,22,0.002405,0.002662,0.041388,0.081517,0.081601
aws,23,0.001116,0.001239,0.041118,0.089094,0.08915
aws,24,0.001766,0.001946,0.049452,0.08473,0.08478
aws,25,0.001391,0.00149,0.038335,0.100688,0.100789
aws,26,0.002493,0.00281,0.049212,0.078722,0.078782
aws,27,0.000851,0.000933,0.030477,0.070166,0.070214
aws,28,0.001205,0.001319,0.043324,0.107276,0.10736
aws,29,0.002504,0.002777,0.049938,0.077185,0.077237
aws,30,0.001245,0.001361,0.029206,0.056178,0.056253
aws,31,0.001381,0.001528,0.045058,0.067344,0.067387
aws,32,0.000865,0.000946,0.051515,0.075187,0.07523
aws,33,0.001392,0.001555,0.042164,0.085393,0.085535
aws,34,0.002351,0.002594,0.048918,0.067648,0.0677
aws,35,0.000876,0.000959,0.030143,0.063674,0.063713
aws,36,0.000888,0.000971,0.030311,0.062314,0.062364
aws,37,0.000996,0.001103,0.042291,0.062309,0.062352
aws,38,0.000793,0.000862,0.030481,0.068719,0.068763
aws,39,0.001111,0.001244,0.041453,0.086165,0.086235
aws,40,0.001569,0.001714,0.045888,0.076449,0.076493
aws,41,0.000811,0.00089,0.035614,0.055182,0.05522
aws,42,0.000862,0.000979,0.050573,0.072224,0.072264
aws,43,0.000898,0.000992,0.033531,0.064284,0.064329
aws,44,0.001075,0.001184,0.037233,0.076755,0.076804
aws,45,0.001127,0.00125,0.040794,0.089904,0.089959
aws,46,0.00103,0.001141,0.036055,0.060035,0.060101
aws,47,0.001442,0.001597,0.043707,0.065046,0.065088
aws,48,0.00108,0.001166,0.052375,0.079441,0.07955
aws,49,0.002366,0.002615,0.053069,0.077552,0.077694
aws,50,0.002386,0.002629,0.058886,0.086703,0.086754
aws,51,0.000808,0.00088,0.036387,0.068216,0.068268
aws,52,0.000855,0.000942,0.031531,0.0728,0.072846
aws,53,0.001102,0.001214,0.045587,0.1053,0.1054
aws,54,0.002287,0.002545,0.049945,0.085174,0.085224
aws,55,0.000851,0.000936,0.028946,0.077923,0.077984
aws,56,0.00171,0.001891,0.046991,0.084141,0.084192
aws,57,0.000918,0.001016,0.030762,0.059216,0.059257
aws,58,0.000865,0.000952,0.048783,0.068325,0.068371
aws,59,0.000879,0.000972,0.036353,0.082805,0.082914
aws,60,0.002484,0.002763,0.059217,0.138262,0.138478
aws,61,0.00272,0.003055,0.043572,0.084575,0.08464
aws,62,0.00109,0.001192,0.038238,0.057451,0.057501
aws,63,0.000834,0.000921,0.040319,0.068486,0.068593
aws,64,0.002382,0.002629,0.05153,0.071654,0.071703
aws,65,0.000795,0.000874,0.028958,0.07147,0.071527
aws,66,0.00171,0.001874,0.054146,0.090376,0.090424
aws,67,0.000903,0.001018,0.034393,0.078255,0.07837
aws,68,0.002356,0.002605,0.047172,0.097321,0.097387
aws,69,0.0013,0.001448,0.047353,0.087025,0.087113
aws,70,0.00196,0.002192,0.045156,0.088479,0.088531
aws,71,0.001144,0.001297,0.043286,0.078159,0.078288
aws,72,0.001918,0.002108,0.036981,0.071332,0.071383
aws,73,0.000865,0.000964,0.034493,0.056722,0.056764
aws,74,0.000831,0.000919,0.043046,0.06186,0.061904
aws,75,0.000847,0.000928,0.028587,0.079362,0.079428
aws,76,0.001664,0.001831,0.042668,0.088163,0.088223
aws,77,0.001159,0.001285,0.03719,0.080523,0.080582
aws,78,0.001077,0.001216,0.045571,0.085802,0.085853
aws,79,0.000848,0.000936,0.035932,0.08931,0.089399
aws,80,0.00165,0.001819,0.050085,0.087148,0.087242
aws,81,0.001981,0.002178,0.056703,0.092525,0.092574
aws,82,0.000804,0.000893,0.028974,0.078786,0.078914
aws,83,0.002346,0.00261,0.045868,0.089206,0.089328
aws,84,0.002428,0.002693,0.048038,0.083806,0.083862
aws,85,0.000921,0.001003,0.032287,0.069131,0.069187
aws,86,0.000971,0.001058,0.033179,0.052392,0.052446
aws,87,0.000972,0.001052,0.055301,0.077401,0.077476
aws,88,0.001149,0.001269,0.051407,0.078144,0.078185
aws,89,0.000803,0.00089,0.029514,0.08607,0.086151
aws,90,0.002252,0.002464,0.05388,0.083502,0.083604
aws,91,0.0019,0.002098,0.047696,0.069357,0.069406
aws,92,0.000841,0.000922,0.029814,0.049196,0.049236
aws,93,0.000784,0.000865,0.040811,0.059077,0.059122
aws,94,0.00077,0.00085,0.02919,0.068021,0.068067
aws,95,0.001201,0.001328,0.039683,0.096571,0.09669
aws,96,0.00253,0.002783,0.056437,0.080391,0.080448
aws,97,0.000793,0.000869,0.036304,0.07181,0.071857
aws,98,0.00103,0.001136,0.042094,0.065997,0.066041
aws,99,0.00087,0.000958,0.053879,0.07907,0.07919
aws,100,0.002365,0.00261,0.043154,0.063169,0.063221
